A Study In Scarlet (Novel) 	Christmas 1887
The Sign Of The Four (Novel) 	February 1890
A Scandal In Bohemia 	July 1891
The Red-Headed League 	August 1891
A Case Of Identity 	September 1891
The Boscombe Valley Mystery 	October 1891
The Five Orange Pips 	November 1891
The Man With The Twisted Lip 	December 1891
The Adventure Of The Blue Carbuncle 	January 1892
The Adventure Of The Speckled Band 	February 1892
The Adventure Of The Engineer's Thumb 	March 1892
The Adventure Of The Noble Bachelor 	April 1892
The Adventure Of The Beryl Coronet 	May 1892
The Adventure Of The Copper Beeches 	June 1892
[The above short stories published as The Adventures Of Sherlock Holmes 	1892]
Silver Blaze 	December 1892
The Cardboard Box 	January 1893
The Yellow Face 	February 1893
The Stockbroker's Clerk 	March 1893
The Gloria Scott 	April 1893
The Musgrave Ritual 	May 1893
The Reigate Squires [Us Title: The Reigate Puzzle] 	June 1893
The Crooked Man 	July 1893
The Resident Patient 	August 1893
The Greek Interpreter 	September 1893
The Naval Treaty 	Oct. &amp; Nov. 1893
The Final Problem 	December 1893
[The above short stories published as The Memoirs Of Sherlock Holmes 	1894]
The Hound Of The Baskervilles (Novel) 	Aug. 1901 - April 1902
The Adventure Of The Empty House 	October 1903
The Adventure Of The Norwood Builder 	November 1903
The Adventure Of The Dancing Men 	December 1903
The Adventure Of The Solitary Cyclist 	January 1904
The Adventure Of The Priory School 	February 1904
The Adventure Of Black Peter 	March 1904
The Adventure Of Charles Augustus Milverton 	April 1904
The Adventure Of The Six Napoleons 	May 1904
The Adventure Of The Three Students 	June 1904
The Adventure Of The Golden Pince-Nez 	July 1904
The Adventure Of The Missing Three-Quarter 	August 1904
The Adventure Of The Abbey Grange 	September 1904
The Adventure Of The Second Stain 	December 1904
[The above short stories published as The Return Of Sherlock Holmes 	1905]
The Adventure Of Wisteria Lodge 	September/ October 1908
The Adventure Of The Bruce-Partington Plans 	December 1908
The Adventure Of The Devil's Foot 	December 1910
The Adventure Of The Red Circle 	March/ April 1911
The Disappearance Of Lady Frances Carfax 	December 1911
The Adventure Of The Dying Detective 	December 1913
His Last Bow 	September 1917
[The above short stories published as His Last Bow 	1917]
The Valley Of Fear (Novel) 	Sept 1914 - May 1915
The Adventure Of The Mazarin Stone 	October 1921
The Problem Of Thor Bridge 	February/ March 1922
The Adventure Of The Creeping Man 	March 1923
The Adventure Of The Sussex Vampire 	January 1924
The Adventure Of The Three Garridebs 	January 1925
The Adventure Of The Illustrious Client 	February/ March 1925
The Adventure Of The Three Gables 	October 1926
The Adventures Of The Blanched Soldier 	November 1926
The Adventure Of The Lion's Mane 	December 1926
The Adventure Of The Retired Colourman 	January 1927
The Adventure Of The Veiled Lodger 	February 1927
The Adventure Of Shoscombe Old Place 	April 1927
[The above short stories published as The Case Book Of Sherlock Holmes 	1927]
